,mirna,fam,count
383,Hsa-Mir-154-P22_pre,Mir-154,2
384,Hsa-Mir-671_pre,Mir-671,3
385,Hsa-Mir-154-P23_pre,Mir-154,1
386,Hsa-Mir-126-v1_pre,Mir-126,4
387,Hsa-Mir-10-P3b_pre,Mir-10,3
388,Hsa-Mir-1323_pre,Mir-1323,4
389,Hsa-Mir-506-P7a_pre,Mir-506,4
390,Hsa-Mir-124-P1-v2_pre,Mir-124,0
391,Hsa-Mir-337-as_pre,Mir-337,4
392,Hsa-Mir-92-P2c_pre,Mir-92,4
393,Hsa-Mir-10-P1b-v1_pre,Mir-10,2
394,Hsa-Mir-605-v1_pre,Mir-605,4
395,Hsa-Mir-10-P3c_pre,Mir-10,4
396,Hsa-Mir-1307_pre,Mir-1307,4
397,Hsa-Mir-96-P2_pre,Mir-96,4
398,Hsa-Mir-128-P1_pre,Mir-128,3
399,Hsa-Mir-430-P39b_pre,Mir-430,1
400,Hsa-Mir-101-P2-v2_pre,Mir-101,4
401,Hsa-Mir-337-v2_pre,Mir-337,4
402,Hsa-Mir-128-P2_pre,Mir-128,4
403,Hsa-Mir-154-P5_pre,Mir-154,2
404,Hsa-Mir-430-P4_pre,Mir-430,4
405,Hsa-Mir-374-P1_pre,Mir-374,3
406,Hsa-Mir-1271_pre,Mir-1271,3
407,Hsa-Mir-590_pre,Mir-590,4
408,Hsa-Mir-199-P3-v1_pre,Mir-199,3
409,Hsa-Mir-223_pre,Mir-223,3
410,Hsa-Mir-430-P32_pre,Mir-430,3
411,Hsa-Mir-101-P1-v2_pre,Mir-101,2
412,Hsa-Mir-15-P2a_pre,Mir-15,4
413,Hsa-Mir-2355_pre,Mir-2355,4
414,Hsa-Mir-153-P2_pre,Mir-153,3
415,Hsa-Mir-154-P19_pre,Mir-154,2
416,Hsa-Mir-124-P3-v2_pre,Mir-124,3
417,Hsa-Mir-7-P2_pre,Mir-7,2
418,Hsa-Mir-155_pre,Mir-155,3
419,Hsa-Mir-96-P3-v2_pre,Mir-96,4
420,Hsa-Mir-506-P6a2_pre,Mir-506,4
421,Hsa-Let-7-P2c3_pre,Let-7,4
422,Hsa-Mir-181-P2c_pre,Mir-181,0
423,Hsa-Mir-506-P6b_pre,Mir-506,4
424,Hsa-Mir-430-P8a_pre,Mir-430,0
425,Hsa-Mir-430-P18_pre,Mir-430,2
426,Hsa-Mir-154-P27_pre,Mir-154,2
427,Hsa-Mir-376-P4_pre,Mir-376,2
428,Hsa-Mir-542-v1_pre,Mir-542,4
429,Hsa-Mir-4731_pre,Mir-4731,3
430,Hsa-Mir-328_pre,Mir-328,4
431,Hsa-Mir-30-P2a_pre,Mir-30,4
432,Hsa-Mir-885_pre,Mir-885,4
433,Hsa-Mir-340_pre,Mir-340,4
434,Hsa-Mir-760_pre,Mir-760,0
435,Hsa-Mir-1301_pre,Mir-1301,4
436,Hsa-Mir-214-v2_pre,Mir-214,3
437,Hsa-Mir-450-P3_pre,Mir-450,4
438,Hsa-Mir-219-P2_pre,Mir-219,3
439,Hsa-Mir-506-P3_pre,Mir-506,4
