,mirna,fam,count
241,Hsa-Mir-770_pre,Mir-770,4
242,Hsa-Mir-4661_pre,Mir-4661,4
243,Hsa-Mir-651_pre,Mir-651,3
244,Hsa-Mir-450-P2_pre,Mir-450,4
245,Hsa-Mir-192-P1_pre,Mir-192,3
246,Hsa-Mir-1278_pre,Mir-1278,4
247,Hsa-Mir-19-P1_pre,Mir-19,4
248,Hsa-Mir-1251_pre,Mir-1251,4
249,Hsa-Mir-1298_pre,Mir-1298,3
250,Hsa-Mir-431_pre,Mir-431,4
251,Hsa-Mir-199-P2-v2_pre,Mir-199,3
252,Hsa-Mir-3934_pre,Mir-3934,4
253,Hsa-Mir-138-P1_pre,Mir-138,4
254,Hsa-Mir-126-v2_pre,Mir-126,4
255,Hsa-Mir-208-P2_pre,Mir-208,4
256,Hsa-Mir-5586_pre,Mir-5586,4
257,Hsa-Mir-124-P2-v1_pre,Mir-124,4
258,Hsa-Mir-184_pre,Mir-184,4
259,Hsa-Mir-1912_pre,Mir-1912,3
260,Hsa-Mir-504-v1_pre,Mir-504,3
261,Hsa-Mir-24-P2_pre,Mir-24,3
262,Hsa-Mir-1294_pre,Mir-1294,4
263,Hsa-Mir-430-P47_pre,Mir-430,4
264,Hsa-Mir-154-P21_pre,Mir-154,2
