taxid|organism_name|assembly_accession|intraspecific_name|status
42254|Sorex araneus|GCF_000181275.1|GB8-d|active
43179|Ictidomys tridecemlineatus|GCF_016881025.1|GS200|active
43346|Bison bison bison|GCF_000754665.1|TAMUID 2011002044|active
50954|Talpa occidentalis|GCF_014898055.1|TD23|active
51298|Myotis myotis|GCF_014108235.1|mMyoMyo1|active
51337|Jaculus jaculus|GCF_000280705.1|JJ0015|active
51338|Castor canadensis|GCF_001984765.1|Ward|active
54180|Trachypithecus francoisi|GCF_009764315.1|TF-2019V2|active
59463|Myotis lucifugus|GCF_000147115.1||active
59472|Pipistrellus kuhlii|GCF_014108245.1|mPipKuh1|active
59479|Rhinolophus ferrumequinum|GCF_004115265.1|MPI-CBG mRhiFer1|active
59534|Oryx dammah|GCF_014754425.2|SB20612|active
60711|Chlorocebus sabaeus|GCF_015252025.1||active
61156|Arvicanthis niloticus|GCF_011762505.1|mArvNil1|active
61383|Lynx canadensis|GCF_007474595.2|LIC74|active
61621|Rhinopithecus bieti|GCF_001698545.1|Rb0|active
61622|Rhinopithecus roxellana|GCF_007565055.1|Shanxi Qingling|active
61853|Nomascus leucogenys|GCF_006542625.1|Asia|active
72004|Bos mutus|GCF_000298355.1|yakQH1|active
73337|Ceratotherium simum simum|GCF_000283155.1|SDZICR_KB13650|active
74533|Panthera tigris altaica|GCF_000464555.1|TaeGuk|active
76717|Lontra canadensis|GCF_010015895.1|GAN:19392208|active
79684|Microtus ochrogaster|GCF_000317375.1|Prairie Vole_2|active
81572|Hylobates moloch|GCF_009828535.2|HMO894|active
89462|Bubalus bubalis|GCF_003121395.1||active
89673|Phyllostomus discolor|GCF_004126475.2|MPI-MPIP mPhyDis1|active
90247|Lagenorhynchus obliquidens|GCF_003676395.1|GAN/ISIS:26980383/991018|active
93162|Marmota flaviventris|GCF_003676075.2|SJ_83|active
95912|Hyaena hyaena|GCF_003009895.1|Hyena2069|active
109478|Myotis brandtii|GCF_000412655.1||active
116960|Ursus arctos horribilis|GCF_003584765.1|GAN/ISIS:MIG12-29695490/34125|active
118797|Lipotes vexillifer|GCF_000442215.1||active
127582|Trichechus manatus latirostris|GCF_000243295.1|Lorelei|active
130825|Ochotona curzoniae|GCF_017591425.1|NIBS_2020|active
132908|Pteropus vampyrus|GCF_000151845.1|Shadow|active
143291|Pteropus giganteus|GCF_902729225.1||active
143292|Manis pentadactyla|GCF_014570555.1|MP20|active
143302|Condylura cristata|GCF_000260355.1|star-nosed mole 26May11|active
185453|Chrysochloris asiatica|GCF_000296735.1||active
186990|Hipposideros armiger|GCF_001890085.1|ML-2016|active
225400|Myotis davidii|GCF_000327345.1||active
230844|Peromyscus maniculatus bairdii|GCF_000500345.1||active
246437|Tupaia chinensis|GCF_000334495.1||active
286419|Canis lupus dingo|GCF_012295265.1|COOINDA|active
291302|Miniopterus natalensis|GCF_001595765.1|MN2012-01|active
310752|Balaenoptera acutorostrata scammoni|GCF_000493695.1||active
336983|Colobus angolensis palliatus|GCF_000951035.1|OR3802|active
379532|Propithecus coquereli|GCF_000956105.1|6110/MARCELLA|active
391180|Enhydra lutris kenyoni|GCF_002288905.1|GAN:26980312|active
419612|Camelus ferus|GCF_009834535.1|YT-003-E|active
482537|Galeopterus variegatus|GCF_000696425.1||active
491861|Grammomys surdaster|GCF_004785775.1|TR1022|active
591936|Piliocolobus tephrosceles|GCF_002776525.3|RC106|active
885580|Fukomys damarensis|GCF_012274545.1|Sample0158|active
1026970|Nannospalax galili|GCF_000622305.1|Female #2095|active
1047088|Arvicola amphibius|GCF_903992535.1||active
1230840|Orycteropus afer afer|GCF_000298275.1|SDZICR_OR568_19922|active
1608482|Puma yagouaroundi|GCF_014898765.1||active
1868482|Carlito syrichta|GCF_000164805.1|Samal-C Ts95f|active
2715852|Cebus imitator|GCF_001604975.1|Cc_AM_T3|active
1706337|Neophocaena asiaeorientalis asiaeorientalis|GCF_003031525.1||retired_May2021
192404|Sturnira hondurensis|GCF_014824575.1|20B|retired_May2021
